reviewDecision,recommendedDecision,reviewBucket,publishedAt,source,predictedAssetType,predictedSymbol,assetScore,symbolScore,lexiconSymbol,topCandidates,headline
PENDING,VERIFY_TYPE,TYPE_ONLY,2026-04-22T09:53:54Z,Cổng thông tin điện tử Tỉnh Sơn La,STOCK,UNKNOWN,0.7201,0.0000,,RRGB (0.1103) | MIRA (0.0996) | TXN (0.0767),Risk Assessment Overview | 1.2% EPS miss reported for CMS Energy Corporation - Real Trader Insights - Cổng thông tin điện tử Tỉnh Sơn La
PENDING,VERIFY_TYPE,TYPE_ONLY,2026-04-22T05:53:15Z,Mynet Finans,COMMODITY,UNKNOWN,0.9789,0.0000,,COPPER (0.1719) | OIL (0.0859) | BRENT (0.0679),"Altın ateşkes kararı sonrası yükseldi (İşte petrol, gümüş fiyatı) - Finans haberlerinin doğru adresi - Mynet Finans Haber - Mynet Finans"
